Field_AT_ID,Field_ID,Table_ID,Table_Name,Field_Name,Field_Type,Redis_Cache,Redis_TTL,Field_Details,One_Or_Many,Registry_Created,Is_Linked_Field,Linked_Table,Linked_Table_ID
recq2xjNPQS1RO8Md,fldSb8jJWeym8DlaK,tbliQBF91cvRqYSlf,OpenAI_Messages,Message_Text,multilineText,checked,3600,,,4/8/2025 7:10pm,,,
recuxUGSKQ2h9DmDr,fld6iL56aJ6zE7s6d,tbliQBF91cvRqYSlf,OpenAI_Messages,Log_This_Thread,checkbox,checked,3600,,,4/8/2025 7:10pm,,,
rect6En1f2hHMOFbl,fldob3whIKCgAQI9L,tbliQBF91cvRqYSlf,OpenAI_Messages,Sender,singleSelect,checked,3600,,,4/8/2025 7:10pm,,,
reclQO68ydVauLN3U,fldiKU0kpmIQxDwBE,tbliQBF91cvRqYSlf,OpenAI_Messages,Message_Attachment,multipleAttachments,checked,3600,,,4/8/2025 7:10pm,,,
recnukVT5yAYAt6yP,fld7PbF6yS0xHkBr6,tblQMzBZzevb7Uzn1,OpenAI_Threads,AT_OpenAIThread_Record_ID,formula,checked,3600,,,4/8/2025 7:10pm,,,
rec6Grtd739hROuVM,fldTHwVYNe4I6tzlj,tblQMzBZzevb7Uzn1,OpenAI_Threads,Start_Time,dateTime,checked,3600,,,4/8/2025 7:10pm,,,
recWRy2lbnxw4MbZo,fldLesJMcKAZMQUdd,tblQMzBZzevb7Uzn1,OpenAI_Threads,Created_Time,createdTime,checked,3600,,,4/8/2025 7:10pm,,,
rec14QFEsQGxWKDFT,fldHVgyN2ccjhY9wF,tblQMzBZzevb7Uzn1,OpenAI_Threads,Thread_Tags,multipleRecordLinks,checked,3600,,,4/8/2025 7:10pm,checked,,
recFI0hpPoaUWdDF8,fldQA9eZZ0sAI4hSz,tblQMzBZzevb7Uzn1,OpenAI_Threads,Last_Updated,lastModifiedTime,checked,3600,,,4/8/2025 7:10pm,,,
recPW2gI1VhkB7WuY,fldY2Kgh9wqJTXkOy,tblQMzBZzevb7Uzn1,OpenAI_Threads,Open_AI_Thread_ID,singleLineText,checked,3600,,,4/8/2025 7:10pm,,,
recF2dfjulJDSCnCm,fldq76fzugyGPz2cw,tblQMzBZzevb7Uzn1,OpenAI_Threads,Compressed_Message_Payload,multilineText,checked,3600,,,4/8/2025 7:10pm,,,
